stop_id,stop_name,stop_lat,stop_lon
358,parada358,-7.097326764172158,-34.856094632375310
359,parada359,-7.097806939960916,-34.854137855744852
360,parada360,-7.098188772928713,-34.848744742564271
361,parada361,-7.098386555444245,-34.848637767092100
362,parada362,-7.098007763658796,-34.844636968508347
363,parada363,-7.097628005135906,-34.844483157088689
364,parada364,-7.097825689489553,-34.842295340436380
365,parada365,-7.126866894775834,-34.899012130922628
366,parada366,-7.126276904718723,-34.898053176380827
367,parada367,-7.125912639639257,-34.897852737261033
368,parada368,-7.126432243815576,-34.899128886618882
369,parada369,-7.138178393075254,-34.905509789907818
370,parada370,-7.137477985123817,-34.905220239283267
371,parada371,-7.143646504362717,-34.906396315476726
372,parada372,-7.143795876692641,-34.906184688122543
373,parada373,-7.146578160519494,-34.908593260150433
374,parada374,-7.116686541726722,-34.876043363177232
375,parada375,-7.118350647645957,-34.876692071674441
376,parada376,-7.116116786731602,-34.874131992453748
377,parada377,-7.119518113089323,-34.875926605664453
378,parada378,-7.120427704860709,-34.874391905263003
379,parada379,-7.120476044951802,-34.873953891233477
380,parada380,-7.119917763371590,-34.872010359697533
381,parada381,-7.125433049563553,-34.878678600502873
382,parada382,-7.125565806662035,-34.881393227288576
383,parada383,-7.125011988435804,-34.884690056155691
384,parada384,-7.122924316495989,-34.885674330248477
385,parada385,-7.120542655282317,-34.887279884565913
386,parada386,-7.119994107809661,-34.887222998401853
387,parada387,-7.119707014634781,-34.887206940907561
388,parada388,-7.119020628969801,-34.886229878333197
389,parada389,-7.119059351739647,-34.886119873957760
390,parada390,-7.119272102125199,-34.885569929877157
391,parada391,-7.119422013200363,-34.885177788132552
392,parada392,-7.120383723040923,-34.877879671756673
393,parada393,-7.120184387169571,-34.878747471364811
394,parada394,-7.119414221117007,-34.879018772068669
395,parada395,-7.119048296017292,-34.879455638042032
396,parada396,-7.118767006491447,-34.879926751939173
397,parada397,-7.118691004747511,-34.880466434742232
398,parada398,-7.116738209257855,-34.887085838288122
399,parada399,-7.116268151374964,-34.887307716116560
400,parada400,-7.115841254043275,-34.887506706964579
401,parada401,-7.115134639682563,-34.887812090969362
402,parada402,-7.115400063972612,-34.887698470002952
403,parada403,-7.115160185877055,-34.890417474025128
404,parada404,-7.114526992754199,-34.890165253483502
405,parada405,-7.113865152737336,-34.889959336154817
406,parada406,-7.120437161724840,-34.892938193834652
407,parada407,-7.120028044645952,-34.892960533635389
408,parada408,-7.097162541151367,-34.863335124232833
409,parada409,-7.096338566183320,-34.862185876113308
410,parada410,-7.121122005613621,-34.861042783493147
411,parada411,-7.120871372203696,-34.859010733323522
412,parada412,-7.121087886488902,-34.847926496369674
413,parada413,-7.120540724580047,-34.848881672879330
414,parada414,-7.119318864502284,-34.845747843485313
415,parada415,-7.118825135064242,-34.847488081206663
416,parada416,-7.116384969837420,-34.845682570919337
